epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	0.8245	1.4542	|	0.6585	0.6642	0.6642	0.6642	|	0.3337	0.4456	0.4456	0.4456	|  Best result at epoch 0
1	0.6694	1.8433	|	0.4515	0.4436	0.4436	0.4436	|	0.3226	0.3878	0.3878	0.3878	|  Best result at epoch 0
2	0.6402	2.2789	|	0.4527	0.5278	0.5278	0.5278	|	0.2663	0.3498	0.3498	0.3498	|  Best result at epoch 0
3	0.6266	2.2603	|	0.4438	0.4294	0.4294	0.4294	|	0.3365	0.4002	0.4002	0.4002	|  Best result at epoch 0
4	0.6207	2.5316	|	0.4712	0.5174	0.5174	0.5174	|	0.3547	0.4206	0.4206	0.4206	|  Best result at epoch 0
5	0.6153	2.6371	|	0.4876	0.5082	0.5082	0.5082	|	0.3555	0.4202	0.4202	0.4202	|  Best result at epoch 0
6	0.6078	2.8144	|	0.4684	0.4828	0.4828	0.4828	|	0.3555	0.4202	0.4202	0.4202	|  Best result at epoch 0
7	0.6007	2.6888	|	0.4698	0.4828	0.4828	0.4828	|	0.3277	0.3924	0.3924	0.3924	|  Best result at epoch 0
8	0.5949	2.7570	|	0.4876	0.5082	0.5082	0.5082	|	0.3304	0.3922	0.3922	0.3922	|  Best result at epoch 0
9	0.5897	2.4937	|	0.5333	0.5714	0.5714	0.5714	|	0.3050	0.3664	0.3664	0.3664	|  Best result at epoch 0
10	0.5865	2.7920	|	0.4391	0.4768	0.4768	0.4768	|	0.2543	0.3210	0.3210	0.3210	|  Best result at epoch 0
11	0.5822	2.5814	|	0.4997	0.5436	0.5436	0.5436	|	0.2707	0.3378	0.3378	0.3378	|  Best result at epoch 0
12	0.5803	3.0461	|	0.4391	0.4768	0.4768	0.4768	|	0.2678	0.3494	0.3494	0.3494	|  Best result at epoch 0
13	0.5785	2.6045	|	0.5519	0.5910	0.5910	0.5910	|	0.2337	0.2950	0.2950	0.2950	|  Best result at epoch 0
14	0.5800	2.6721	|	0.5287	0.5714	0.5714	0.5714	|	0.2707	0.3378	0.3378	0.3378	|  Best result at epoch 0
15	0.5752	2.8130	|	0.4245	0.4276	0.4276	0.4276	|	0.2692	0.3378	0.3378	0.3378	|  Best result at epoch 0
16	0.5742	2.4632	|	0.4427	0.4554	0.4554	0.4554	|	0.3031	0.3662	0.3662	0.3662	|  Best result at epoch 0
17	0.5762	2.7130	|	0.4245	0.4276	0.4276	0.4276	|	0.3007	0.3666	0.3666	0.3666	|  Best result at epoch 0
18	0.5781	3.1302	|	0.4429	0.4554	0.4554	0.4554	|	0.3027	0.3660	0.3660	0.3660	|  Best result at epoch 0
19	0.5723	2.4907	|	0.5656	0.5910	0.5910	0.5910	|	0.2342	0.2954	0.2954	0.2954	|  Best result at epoch 0
20	0.5710	2.2816	|	0.5355	0.5714	0.5714	0.5714	|	0.2697	0.3382	0.3382	0.3382	|  Best result at epoch 0
21	0.5742	2.8913	|	0.4135	0.4554	0.4554	0.4554	|	0.3032	0.3662	0.3662	0.3662	|  Best result at epoch 0
22	0.5712	2.4571	|	0.4431	0.4554	0.4554	0.4554	|	0.3031	0.3662	0.3662	0.3662	|  Best result at epoch 0
23	0.5689	2.8624	|	0.4431	0.4554	0.4554	0.4554	|	0.3031	0.3662	0.3662	0.3662	|  Best result at epoch 0
24	0.5717	2.6898	|	0.4431	0.4554	0.4554	0.4554	|	0.3031	0.3662	0.3662	0.3662	|  Best result at epoch 0
25	0.5686	2.3922	|	0.5296	0.5714	0.5714	0.5714	|	0.3031	0.3662	0.3662	0.3662	|  Best result at epoch 0
26	0.5694	2.2644	|	0.5296	0.5714	0.5714	0.5714	|	0.2707	0.3378	0.3378	0.3378	|  Best result at epoch 0
