epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
46	0.7301	1.4953	|	0.5972	0.6114	0.6114	0.6114	|	0.3277	0.3928	0.3928	0.3928	|  Best result at epoch 11
47	0.7252	1.5976	|	0.5970	0.6110	0.6110	0.6110	|	0.3431	0.4102	0.4102	0.4102	|  Best result at epoch 11
48	0.7202	1.5458	|	0.5972	0.6114	0.6114	0.6114	|	0.3296	0.3932	0.3932	0.3932	|  Best result at epoch 11
49	0.7298	1.5061	|	0.6303	0.6368	0.6368	0.6368	|	0.2456	0.3258	0.3258	0.3258	|  Best result at epoch 11
50	0.7171	1.5026	|	0.7092	0.7256	0.7256	0.7256	|	0.3011	0.3674	0.3674	0.3674	|  Best result at epoch 50
51	0.7109	1.6378	|	0.5946	0.6092	0.6092	0.6092	|	0.2992	0.3662	0.3662	0.3662	|  Best result at epoch 50
52	0.7114	2.9405	|	0.3414	0.4178	0.4178	0.4178	|	0.3225	0.4340	0.4340	0.4340	|  Best result at epoch 50
53	0.7356	1.7634	|	0.5783	0.6002	0.6002	0.6002	|	0.2579	0.3386	0.3386	0.3386	|  Best result at epoch 50
54	0.7209	1.5375	|	0.5780	0.6292	0.6292	0.6292	|	0.2218	0.2950	0.2950	0.2950	|  Best result at epoch 50
55	0.7319	1.6834	|	0.7503	0.7448	0.7448	0.7448	|	0.2247	0.2950	0.2950	0.2950	|  Best result at epoch 55
56	0.7121	1.5867	|	0.5949	0.6096	0.6096	0.6096	|	0.3208	0.3840	0.3840	0.3840	|  Best result at epoch 55
57	0.7153	1.6622	|	0.7092	0.7256	0.7256	0.7256	|	0.3011	0.3674	0.3674	0.3674	|  Best result at epoch 55
58	0.7102	1.5588	|	0.6710	0.7000	0.7000	0.7000	|	0.3011	0.3674	0.3674	0.3674	|  Best result at epoch 55
59	0.7328	1.6286	|	0.5779	0.6292	0.6292	0.6292	|	0.2212	0.2962	0.2962	0.2962	|  Best result at epoch 55
60	0.7032	1.8298	|	0.5946	0.6092	0.6092	0.6092	|	0.2992	0.3662	0.3662	0.3662	|  Best result at epoch 55
61	0.7146	1.6702	|	0.5949	0.6096	0.6096	0.6096	|	0.3014	0.3666	0.3666	0.3666	|  Best result at epoch 55
62	0.7108	1.6120	|	0.5949	0.6096	0.6096	0.6096	|	0.3040	0.3674	0.3674	0.3674	|  Best result at epoch 55
63	0.7110	1.7428	|	0.4072	0.4438	0.4438	0.4438	|	0.2458	0.3386	0.3386	0.3386	|  Best result at epoch 55
64	0.7076	1.7221	|	0.5946	0.6092	0.6092	0.6092	|	0.3002	0.3662	0.3662	0.3662	|  Best result at epoch 55
65	0.7164	1.7136	|	0.5946	0.6092	0.6092	0.6092	|	0.3011	0.3670	0.3670	0.3670	|  Best result at epoch 55
66	0.7069	1.6248	|	0.5949	0.6096	0.6096	0.6096	|	0.3011	0.3674	0.3674	0.3674	|  Best result at epoch 55
67	0.6996	1.8320	|	0.5949	0.6096	0.6096	0.6096	|	0.3032	0.3666	0.3666	0.3666	|  Best result at epoch 55
68	0.7120	1.9720	|	0.5970	0.6110	0.6110	0.6110	|	0.3431	0.4102	0.4102	0.4102	|  Best result at epoch 55
69	0.7106	1.9226	|	0.5947	0.6092	0.6092	0.6092	|	0.2983	0.3662	0.3662	0.3662	|  Best result at epoch 55
70	0.7184	1.5355	|	0.5972	0.6114	0.6114	0.6114	|	0.3247	0.3924	0.3924	0.3924	|  Best result at epoch 55
71	0.7050	1.6076	|	0.5949	0.6096	0.6096	0.6096	|	0.2997	0.3666	0.3666	0.3666	|  Best result at epoch 55
72	0.7029	1.5454	|	0.5617	0.5836	0.5836	0.5836	|	0.2479	0.3258	0.3258	0.3258	|  Best result at epoch 55
73	0.7119	1.6028	|	0.5946	0.6092	0.6092	0.6092	|	0.3002	0.3662	0.3662	0.3662	|  Best result at epoch 55
74	0.7003	1.8204	|	0.5949	0.6096	0.6096	0.6096	|	0.3015	0.3666	0.3666	0.3666	|  Best result at epoch 55
75	0.6979	1.6395	|	0.5778	0.6288	0.6288	0.6288	|	0.2248	0.2950	0.2950	0.2950	|  Best result at epoch 55
76	0.7072	1.5451	|	0.7089	0.7252	0.7252	0.7252	|	0.2991	0.3662	0.3662	0.3662	|  Best result at epoch 55
77	0.6984	1.6782	|	0.5949	0.6096	0.6096	0.6096	|	0.3011	0.3674	0.3674	0.3674	|  Best result at epoch 55
78	0.7043	1.6281	|	0.5949	0.6096	0.6096	0.6096	|	0.3032	0.3666	0.3666	0.3666	|  Best result at epoch 55
79	0.7035	1.6117	|	0.5590	0.5840	0.5840	0.5840	|	0.3011	0.3674	0.3674	0.3674	|  Best result at epoch 55
80	0.7078	1.8109	|	0.5970	0.6110	0.6110	0.6110	|	0.3430	0.4102	0.4102	0.4102	|  Best result at epoch 55
81	0.7021	1.5941	|	0.5779	0.6292	0.6292	0.6292	|	0.2212	0.2962	0.2962	0.2962	|  Best result at epoch 55
82	0.7319	1.5706	|	0.5949	0.6096	0.6096	0.6096	|	0.3005	0.3674	0.3674	0.3674	|  Best result at epoch 55
83	0.7001	1.5806	|	0.6702	0.7000	0.7000	0.7000	|	0.3011	0.3674	0.3674	0.3674	|  Best result at epoch 55
84	0.6982	1.5906	|	0.5946	0.6092	0.6092	0.6092	|	0.2991	0.3662	0.3662	0.3662	|  Best result at epoch 55
