epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
46	1.3455	1.2764	|	0.4015	0.4526	0.4526	0.4526	|	0.3363	0.3666	0.3666	0.3666	|  Best result at epoch 0
47	1.3434	1.7312	|	0.4237	0.5256	0.5256	0.5256	|	0.3076	0.3368	0.3368	0.3368	|  Best result at epoch 0
48	1.3543	1.7369	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
49	1.3488	1.7468	|	0.5168	0.5778	0.5778	0.5778	|	0.3204	0.3468	0.3468	0.3468	|  Best result at epoch 0
50	1.3514	1.7384	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
51	1.3499	1.7438	|	0.4374	0.5536	0.5536	0.5536	|	0.2604	0.3260	0.3260	0.3260	|  Best result at epoch 0
52	1.3477	1.6175	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
53	1.3568	1.7317	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
54	1.3617	1.7484	|	0.4206	0.5282	0.5282	0.5282	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
55	1.3504	1.5829	|	0.4015	0.4526	0.4526	0.4526	|	0.3363	0.3666	0.3666	0.3666	|  Best result at epoch 0
56	1.3502	1.5076	|	0.3585	0.4214	0.4214	0.4214	|	0.2761	0.3424	0.3424	0.3424	|  Best result at epoch 0
57	1.3581	1.7540	|	0.3713	0.4376	0.4376	0.4376	|	0.2958	0.4000	0.4000	0.4000	|  Best result at epoch 0
58	1.3646	1.7358	|	0.4214	0.5256	0.5256	0.5256	|	0.2521	0.3088	0.3088	0.3088	|  Best result at epoch 0
59	1.3530	1.4535	|	0.4191	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
60	1.3446	1.6436	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
61	1.3514	1.2579	|	0.3671	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
62	1.3504	1.6066	|	0.3996	0.4526	0.4526	0.4526	|	0.2985	0.3266	0.3266	0.3266	|  Best result at epoch 0
63	1.3462	1.7270	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
64	1.3377	1.3471	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
65	1.3533	1.7278	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
66	1.3463	1.7318	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
67	1.3414	1.6519	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
68	1.3482	1.7323	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
69	1.3446	1.5458	|	0.4214	0.5256	0.5256	0.5256	|	0.3079	0.3372	0.3372	0.3372	|  Best result at epoch 0
70	1.3458	1.7266	|	0.4537	0.5418	0.5418	0.5418	|	0.3098	0.3368	0.3368	0.3368	|  Best result at epoch 0
71	1.3466	1.4538	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
72	1.3535	1.1593	|	0.4191	0.5256	0.5256	0.5256	|	0.3079	0.3372	0.3372	0.3372	|  Best result at epoch 0
73	1.3514	1.5833	|	0.3713	0.4376	0.4376	0.4376	|	0.2761	0.3424	0.3424	0.3424	|  Best result at epoch 0
74	1.3433	1.6824	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
75	1.3539	1.4805	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
76	1.3442	1.4782	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
77	1.3539	1.7458	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
78	1.3484	1.4924	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
79	1.3393	1.6862	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
80	1.3427	1.5148	|	0.3671	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
81	1.3490	1.7315	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
82	1.3545	1.7355	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
83	1.3420	1.6965	|	0.3660	0.3994	0.3994	0.3994	|	0.3593	0.3900	0.3900	0.3900	|  Best result at epoch 0
84	1.3565	1.7499	|	0.4266	0.5282	0.5282	0.5282	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
85	1.3422	1.7272	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
86	1.3440	1.6917	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
87	1.3398	1.5880	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
88	1.3489	1.7417	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
89	1.3443	1.7438	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
90	1.3398	1.7347	|	0.3713	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
91	1.3529	1.7408	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
92	1.3421	1.7320	|	0.4191	0.5256	0.5256	0.5256	|	0.3076	0.3368	0.3368	0.3368	|  Best result at epoch 0
93	1.3446	1.7365	|	0.3671	0.4376	0.4376	0.4376	|	0.2733	0.3424	0.3424	0.3424	|  Best result at epoch 0
94	1.3469	1.5768	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
95	1.3465	1.7055	|	0.4255	0.4722	0.4722	0.4722	|	0.2955	0.3212	0.3212	0.3212	|  Best result at epoch 0
96	1.3487	1.7242	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
97	1.3411	1.5943	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
98	1.3518	1.7270	|	0.4266	0.5282	0.5282	0.5282	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
99	1.3378	1.7226	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
100	1.3656	1.6882	|	0.4168	0.4782	0.4782	0.4782	|	0.2985	0.3266	0.3266	0.3266	|  Best result at epoch 0
101	1.3381	1.6520	|	0.4214	0.5256	0.5256	0.5256	|	0.2560	0.3088	0.3088	0.3088	|  Best result at epoch 0
102	1.3584	1.1329	|	0.4206	0.5282	0.5282	0.5282	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
103	1.3560	1.6195	|	0.4374	0.5536	0.5536	0.5536	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
104	1.3346	1.7322	|	0.4266	0.5282	0.5282	0.5282	|	0.2648	0.3260	0.3260	0.3260	|  Best result at epoch 0
