epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	1.4855	1.3184	|	0.2055	0.3536	0.3536	0.3536	|	0.0800	0.2000	0.2000	0.2000	|  Best result at epoch 0
1	1.4184	1.3106	|	0.4683	0.5536	0.5536	0.5536	|	0.2800	0.4000	0.4000	0.4000	|  Best result at epoch 1
2	1.3689	1.1880	|	0.4593	0.5536	0.5536	0.5536	|	0.2898	0.4000	0.4000	0.4000	|  Best result at epoch 1
3	1.3482	1.3717	|	0.5789	0.6316	0.6316	0.6316	|	0.2604	0.3424	0.3424	0.3424	|  Best result at epoch 3
4	1.3394	1.3099	|	0.5623	0.6098	0.6098	0.6098	|	0.3146	0.3604	0.3604	0.3604	|  Best result at epoch 3
5	1.3422	1.5418	|	0.4724	0.5536	0.5536	0.5536	|	0.2604	0.3424	0.3424	0.3424	|  Best result at epoch 3
6	1.3317	1.3519	|	0.5521	0.5936	0.5936	0.5936	|	0.2522	0.3040	0.3040	0.3040	|  Best result at epoch 3
7	1.3295	1.5257	|	0.4724	0.5536	0.5536	0.5536	|	0.2604	0.3424	0.3424	0.3424	|  Best result at epoch 3
8	1.3208	1.5210	|	0.5755	0.6316	0.6316	0.6316	|	0.2624	0.3330	0.3330	0.3330	|  Best result at epoch 3
9	1.3260	1.5344	|	0.6007	0.6412	0.6412	0.6412	|	0.2224	0.2354	0.2354	0.2354	|  Best result at epoch 9
10	1.3276	1.5377	|	0.4814	0.5024	0.5024	0.5024	|	0.3739	0.3758	0.3758	0.3758	|  Best result at epoch 9
11	1.3348	1.5741	|	0.5623	0.6098	0.6098	0.6098	|	0.2649	0.3334	0.3334	0.3334	|  Best result at epoch 9
12	1.3323	1.5319	|	0.6063	0.6412	0.6412	0.6412	|	0.2357	0.2680	0.2680	0.2680	|  Best result at epoch 9
13	1.3211	1.5337	|	0.4832	0.4776	0.4776	0.4776	|	0.3261	0.3574	0.3574	0.3574	|  Best result at epoch 9
14	1.3369	1.5690	|	0.4373	0.5536	0.5536	0.5536	|	0.2929	0.3472	0.3472	0.3472	|  Best result at epoch 9
15	1.3455	1.5519	|	0.4071	0.4704	0.4704	0.4704	|	0.3153	0.3726	0.3726	0.3726	|  Best result at epoch 9
16	1.3245	1.5031	|	0.5036	0.5226	0.5226	0.5226	|	0.2882	0.3746	0.3746	0.3746	|  Best result at epoch 9
17	1.3231	1.4680	|	0.4713	0.5156	0.5156	0.5156	|	0.3151	0.3608	0.3608	0.3608	|  Best result at epoch 9
18	1.3265	1.4973	|	0.4713	0.5156	0.5156	0.5156	|	0.2555	0.3060	0.3060	0.3060	|  Best result at epoch 9
19	1.3227	1.5643	|	0.3907	0.4472	0.4472	0.4472	|	0.2753	0.2954	0.2954	0.2954	|  Best result at epoch 9
20	1.3330	1.5718	|	0.4589	0.5536	0.5536	0.5536	|	0.2924	0.3188	0.3188	0.3188	|  Best result at epoch 9
21	1.3304	1.5611	|	0.3768	0.4376	0.4376	0.4376	|	0.3270	0.4270	0.4270	0.4270	|  Best result at epoch 9
