epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	1.3243	1.1658	|	0.4451	0.5256	0.5256	0.5256	|	0.2528	0.3094	0.3094	0.3094	|  Best result at epoch 0
1	1.2100	1.3085	|	0.3239	0.3696	0.3696	0.3696	|	0.2544	0.3088	0.3088	0.3088	|  Best result at epoch 0
2	1.2045	1.4151	|	0.3792	0.4476	0.4476	0.4476	|	0.2528	0.3094	0.3094	0.3094	|  Best result at epoch 0
3	1.2452	1.4709	|	0.5580	0.6084	0.6084	0.6084	|	0.3397	0.3746	0.3746	0.3746	|  Best result at epoch 3
4	1.2701	1.5023	|	0.1233	0.2160	0.2160	0.2160	|	0.2390	0.2688	0.2688	0.2688	|  Best result at epoch 3
5	1.2551	1.8580	|	0.1208	0.2000	0.2000	0.2000	|	0.1344	0.1838	0.1838	0.1838	|  Best result at epoch 3
6	1.2197	1.4250	|	0.3737	0.4076	0.4076	0.4076	|	0.2846	0.3072	0.3072	0.3072	|  Best result at epoch 3
7	1.2186	1.5607	|	0.3737	0.4076	0.4076	0.4076	|	0.2711	0.3072	0.3072	0.3072	|  Best result at epoch 3
8	1.2097	1.5692	|	0.4315	0.5536	0.5536	0.5536	|	0.2787	0.3888	0.3888	0.3888	|  Best result at epoch 3
9	1.2071	1.4307	|	0.3204	0.3696	0.3696	0.3696	|	0.1877	0.3088	0.3088	0.3088	|  Best result at epoch 3
10	1.2049	1.5526	|	0.3146	0.3696	0.3696	0.3696	|	0.2528	0.3094	0.3094	0.3094	|  Best result at epoch 3
11	1.1913	1.4936	|	0.6343	0.6842	0.6842	0.6842	|	0.3391	0.3894	0.3894	0.3894	|  Best result at epoch 11
12	1.2074	1.6528	|	0.5630	0.6084	0.6084	0.6084	|	0.3397	0.3746	0.3746	0.3746	|  Best result at epoch 11
13	1.1907	1.5976	|	0.5366	0.5628	0.5628	0.5628	|	0.2922	0.3136	0.3136	0.3136	|  Best result at epoch 11
14	1.1996	1.5535	|	0.4301	0.4472	0.4472	0.4472	|	0.3284	0.3356	0.3356	0.3356	|  Best result at epoch 11
15	1.1936	1.5194	|	0.4305	0.5536	0.5536	0.5536	|	0.3281	0.3824	0.3824	0.3824	|  Best result at epoch 11
16	1.1930	1.3861	|	0.3380	0.3858	0.3858	0.3858	|	0.2711	0.3072	0.3072	0.3072	|  Best result at epoch 11
17	1.1900	1.6253	|	0.5436	0.6012	0.6012	0.6012	|	0.2706	0.3072	0.3072	0.3072	|  Best result at epoch 11
18	1.1778	1.3646	|	0.3983	0.4254	0.4254	0.4254	|	0.2794	0.3066	0.3066	0.3066	|  Best result at epoch 11
19	1.1872	1.3614	|	0.3944	0.4254	0.4254	0.4254	|	0.2794	0.3066	0.3066	0.3066	|  Best result at epoch 11
20	1.1868	1.4594	|	0.3107	0.3696	0.3696	0.3696	|	0.2544	0.3088	0.3088	0.3088	|  Best result at epoch 11
21	1.1989	1.5252	|	0.4451	0.5256	0.5256	0.5256	|	0.2409	0.3088	0.3088	0.3088	|  Best result at epoch 11
22	1.1900	1.5703	|	0.4218	0.4510	0.4510	0.4510	|	0.2608	0.2972	0.2972	0.2972	|  Best result at epoch 11
23	1.2008	1.4458	|	0.6343	0.6842	0.6842	0.6842	|	0.3385	0.3890	0.3890	0.3890	|  Best result at epoch 11
24	1.1885	2.0676	|	0.1950	0.3256	0.3256	0.3256	|	0.0528	0.1094	0.1094	0.1094	|  Best result at epoch 11
25	1.1862	1.5612	|	0.3803	0.4476	0.4476	0.4476	|	0.2241	0.2688	0.2688	0.2688	|  Best result at epoch 11
26	1.1912	1.4954	|	0.5707	0.6066	0.6066	0.6066	|	0.3170	0.3330	0.3330	0.3330	|  Best result at epoch 11
27	1.1889	1.5260	|	0.3826	0.4476	0.4476	0.4476	|	0.1877	0.3088	0.3088	0.3088	|  Best result at epoch 11
28	1.1904	1.5784	|	0.3239	0.3696	0.3696	0.3696	|	0.2544	0.3088	0.3088	0.3088	|  Best result at epoch 11
29	1.1910	1.5501	|	0.4667	0.5034	0.5034	0.5034	|	0.2608	0.2972	0.2972	0.2972	|  Best result at epoch 11
30	1.1781	1.4989	|	0.3792	0.4476	0.4476	0.4476	|	0.2409	0.3088	0.3088	0.3088	|  Best result at epoch 11
31	1.1922	1.5342	|	0.4779	0.5418	0.5418	0.5418	|	0.2178	0.3072	0.3072	0.3072	|  Best result at epoch 11
32	1.1903	1.5653	|	0.3601	0.4072	0.4072	0.4072	|	0.2841	0.3072	0.3072	0.3072	|  Best result at epoch 11
33	1.1859	1.5349	|	0.3792	0.4476	0.4476	0.4476	|	0.2528	0.3094	0.3094	0.3094	|  Best result at epoch 11
34	1.1844	1.5011	|	0.4909	0.5290	0.5290	0.5290	|	0.2608	0.2972	0.2972	0.2972	|  Best result at epoch 11
35	1.1867	1.6015	|	0.4363	0.5536	0.5536	0.5536	|	0.2755	0.3828	0.3828	0.3828	|  Best result at epoch 11
36	1.1853	1.5492	|	0.4447	0.5256	0.5256	0.5256	|	0.1928	0.3094	0.3094	0.3094	|  Best result at epoch 11
37	1.1911	1.5269	|	0.5567	0.6316	0.6316	0.6316	|	0.3335	0.3832	0.3832	0.3832	|  Best result at epoch 11
38	1.1885	1.5618	|	0.3792	0.4476	0.4476	0.4476	|	0.2409	0.3088	0.3088	0.3088	|  Best result at epoch 11
39	1.1749	1.6581	|	0.2825	0.3544	0.3544	0.3544	|	0.1541	0.2426	0.2426	0.2426	|  Best result at epoch 11
40	1.1810	1.6129	|	0.3586	0.4076	0.4076	0.4076	|	0.2711	0.3072	0.3072	0.3072	|  Best result at epoch 11
41	1.1815	1.5729	|	0.3635	0.4072	0.4072	0.4072	|	0.2250	0.3146	0.3146	0.3146	|  Best result at epoch 11
42	1.1826	1.5917	|	0.3396	0.3858	0.3858	0.3858	|	0.2620	0.2978	0.2978	0.2978	|  Best result at epoch 11
43	1.1678	1.5812	|	0.4256	0.4510	0.4510	0.4510	|	0.2608	0.2972	0.2972	0.2972	|  Best result at epoch 11
