epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	0.9089	1.0242	|	0.6477	0.7096	0.7096	0.7096	|	0.2091	0.3268	0.3268	0.3268	|  Best result at epoch 0
1	0.7195	1.2310	|	0.5607	0.6088	0.6088	0.6088	|	0.2444	0.3170	0.3170	0.3170	|  Best result at epoch 0
2	0.6930	1.4176	|	0.6325	0.6392	0.6392	0.6392	|	0.3619	0.4280	0.4280	0.4280	|  Best result at epoch 0
3	0.6747	1.4815	|	0.5666	0.5608	0.5608	0.5608	|	0.3820	0.4558	0.4558	0.4558	|  Best result at epoch 0
4	0.6618	1.4091	|	0.6464	0.6388	0.6388	0.6388	|	0.3532	0.4198	0.4198	0.4198	|  Best result at epoch 0
5	0.6399	1.6149	|	0.5693	0.5608	0.5608	0.5608	|	0.3367	0.3990	0.3990	0.3990	|  Best result at epoch 0
6	0.6206	1.4795	|	0.6393	0.6388	0.6388	0.6388	|	0.3313	0.3916	0.3916	0.3916	|  Best result at epoch 0
7	0.6091	1.5273	|	0.5724	0.5608	0.5608	0.5608	|	0.3335	0.3916	0.3916	0.3916	|  Best result at epoch 0
8	0.6032	1.9756	|	0.6321	0.6388	0.6388	0.6388	|	0.3260	0.3860	0.3860	0.3860	|  Best result at epoch 0
9	0.5986	1.7387	|	0.6392	0.6388	0.6388	0.6388	|	0.3314	0.3916	0.3916	0.3916	|  Best result at epoch 0
10	0.5935	2.0922	|	0.5496	0.5804	0.5804	0.5804	|	0.2613	0.3490	0.3490	0.3490	|  Best result at epoch 0
11	0.5936	2.0695	|	0.5665	0.5608	0.5608	0.5608	|	0.3312	0.3916	0.3916	0.3916	|  Best result at epoch 0
12	0.5906	2.5435	|	0.5588	0.5804	0.5804	0.5804	|	0.2658	0.3486	0.3486	0.3486	|  Best result at epoch 0
13	0.5903	2.1415	|	0.5723	0.5608	0.5608	0.5608	|	0.3257	0.3842	0.3842	0.3842	|  Best result at epoch 0
14	0.5880	2.4303	|	0.5665	0.5608	0.5608	0.5608	|	0.3544	0.4198	0.4198	0.4198	|  Best result at epoch 0
15	0.5879	2.1074	|	0.5723	0.5608	0.5608	0.5608	|	0.3303	0.3916	0.3916	0.3916	|  Best result at epoch 0
16	0.5837	2.3775	|	0.5588	0.5804	0.5804	0.5804	|	0.2608	0.3486	0.3486	0.3486	|  Best result at epoch 0
17	0.5864	2.6298	|	0.5723	0.5608	0.5608	0.5608	|	0.3303	0.3916	0.3916	0.3916	|  Best result at epoch 0
18	0.5818	2.3557	|	0.5723	0.5608	0.5608	0.5608	|	0.3304	0.3916	0.3916	0.3916	|  Best result at epoch 0
19	0.5823	3.0237	|	0.5780	0.5608	0.5608	0.5608	|	0.3303	0.3916	0.3916	0.3916	|  Best result at epoch 0
20	0.5801	3.1824	|	0.5723	0.5608	0.5608	0.5608	|	0.3303	0.3916	0.3916	0.3916	|  Best result at epoch 0
21	0.5818	2.9332	|	0.5858	0.5852	0.5852	0.5852	|	0.3262	0.3860	0.3860	0.3860	|  Best result at epoch 0
22	0.5792	3.1053	|	0.5723	0.5608	0.5608	0.5608	|	0.3303	0.3916	0.3916	0.3916	|  Best result at epoch 0
23	0.5780	3.1685	|	0.5589	0.5804	0.5804	0.5804	|	0.2528	0.3204	0.3204	0.3204	|  Best result at epoch 0
24	0.5769	2.8753	|	0.5780	0.5608	0.5608	0.5608	|	0.3303	0.3916	0.3916	0.3916	|  Best result at epoch 0
25	0.5802	3.0990	|	0.5858	0.5852	0.5852	0.5852	|	0.3265	0.3884	0.3884	0.3884	|  Best result at epoch 0
26	0.5784	2.6825	|	0.5723	0.5608	0.5608	0.5608	|	0.3276	0.3916	0.3916	0.3916	|  Best result at epoch 0
27	0.5795	3.2090	|	0.5499	0.5352	0.5352	0.5352	|	0.3303	0.3916	0.3916	0.3916	|  Best result at epoch 0
28	0.5776	3.0555	|	0.5723	0.5608	0.5608	0.5608	|	0.3303	0.3916	0.3916	0.3916	|  Best result at epoch 0
29	0.5755	3.2370	|	0.5589	0.5804	0.5804	0.5804	|	0.2478	0.3204	0.3204	0.3204	|  Best result at epoch 0
30	0.5721	3.1006	|	0.5499	0.5352	0.5352	0.5352	|	0.3303	0.3916	0.3916	0.3916	|  Best result at epoch 0
31	0.5730	3.3887	|	0.5723	0.5608	0.5608	0.5608	|	0.3303	0.3916	0.3916	0.3916	|  Best result at epoch 0
32	0.5792	3.1039	|	0.5723	0.5608	0.5608	0.5608	|	0.3303	0.3916	0.3916	0.3916	|  Best result at epoch 0
33	0.5774	3.1007	|	0.5665	0.5608	0.5608	0.5608	|	0.3303	0.3916	0.3916	0.3916	|  Best result at epoch 0
34	0.5803	3.0520	|	0.5723	0.5608	0.5608	0.5608	|	0.3276	0.3916	0.3916	0.3916	|  Best result at epoch 0
35	0.5792	3.2763	|	0.5722	0.5608	0.5608	0.5608	|	0.3544	0.4198	0.4198	0.4198	|  Best result at epoch 0
36	0.5728	3.0470	|	0.5665	0.5608	0.5608	0.5608	|	0.3276	0.3916	0.3916	0.3916	|  Best result at epoch 0
37	0.5762	2.7293	|	0.5723	0.5608	0.5608	0.5608	|	0.3276	0.3916	0.3916	0.3916	|  Best result at epoch 0
38	0.5707	2.8593	|	0.5169	0.5304	0.5304	0.5304	|	0.2452	0.3210	0.3210	0.3210	|  Best result at epoch 0
39	0.5687	3.3979	|	0.5723	0.5608	0.5608	0.5608	|	0.3294	0.3916	0.3916	0.3916	|  Best result at epoch 0
