epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	0.9947	1.2544	|	0.5694	0.5862	0.5862	0.5862	|	0.3541	0.4214	0.4214	0.4214	|  Best result at epoch 0
1	0.7856	1.5037	|	0.5400	0.5352	0.5352	0.5352	|	0.3004	0.3810	0.3810	0.3810	|  Best result at epoch 0
2	0.7361	1.6271	|	0.4486	0.5278	0.5278	0.5278	|	0.2071	0.3098	0.3098	0.3098	|  Best result at epoch 0
3	0.7209	1.6073	|	0.4711	0.4828	0.4828	0.4828	|	0.3010	0.3814	0.3814	0.3814	|  Best result at epoch 0
4	0.7136	1.7422	|	0.4629	0.4828	0.4828	0.4828	|	0.3004	0.3810	0.3810	0.3810	|  Best result at epoch 0
5	0.7084	1.7211	|	0.4383	0.5024	0.5024	0.5024	|	0.2110	0.3102	0.3102	0.3102	|  Best result at epoch 0
6	0.7061	1.7333	|	0.4660	0.4828	0.4828	0.4828	|	0.3541	0.4214	0.4214	0.4214	|  Best result at epoch 0
7	0.6988	2.0831	|	0.4641	0.4828	0.4828	0.4828	|	0.2942	0.3884	0.3884	0.3884	|  Best result at epoch 0
8	0.6944	1.8159	|	0.4486	0.5278	0.5278	0.5278	|	0.2077	0.3102	0.3102	0.3102	|  Best result at epoch 0
9	0.6888	1.7801	|	0.4660	0.4828	0.4828	0.4828	|	0.3028	0.3814	0.3814	0.3814	|  Best result at epoch 0
10	0.6853	2.0625	|	0.4680	0.4828	0.4828	0.4828	|	0.3028	0.3814	0.3814	0.3814	|  Best result at epoch 0
11	0.6808	2.1148	|	0.4660	0.4828	0.4828	0.4828	|	0.3028	0.3814	0.3814	0.3814	|  Best result at epoch 0
12	0.6750	2.2856	|	0.4518	0.5024	0.5024	0.5024	|	0.1940	0.2804	0.2804	0.2804	|  Best result at epoch 0
13	0.6751	2.4074	|	0.4660	0.4828	0.4828	0.4828	|	0.2662	0.3516	0.3516	0.3516	|  Best result at epoch 0
14	0.6687	2.3447	|	0.4680	0.4828	0.4828	0.4828	|	0.3028	0.3814	0.3814	0.3814	|  Best result at epoch 0
15	0.6695	2.4889	|	0.4660	0.4828	0.4828	0.4828	|	0.2946	0.3814	0.3814	0.3814	|  Best result at epoch 0
16	0.6682	2.5408	|	0.4641	0.5024	0.5024	0.5024	|	0.1949	0.2816	0.2816	0.2816	|  Best result at epoch 0
