epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	0.9661	1.2738	|	0.4667	0.5086	0.5086	0.5086	|	0.4256	0.4386	0.4386	0.4386	|  Best result at epoch 0
1	0.7589	1.5397	|	0.4593	0.4828	0.4828	0.4828	|	0.3983	0.4166	0.4166	0.4166	|  Best result at epoch 0
2	0.7068	1.8574	|	0.4095	0.4270	0.4270	0.4270	|	0.3693	0.3932	0.3932	0.3932	|  Best result at epoch 0
3	0.6811	1.8862	|	0.4663	0.4828	0.4828	0.4828	|	0.3032	0.3520	0.3520	0.3520	|  Best result at epoch 0
4	0.6677	2.1303	|	0.4515	0.4828	0.4828	0.4828	|	0.3850	0.4162	0.4162	0.4162	|  Best result at epoch 0
5	0.6617	2.0511	|	0.4493	0.4548	0.4548	0.4548	|	0.3052	0.3528	0.3528	0.3528	|  Best result at epoch 0
6	0.6437	2.2856	|	0.5532	0.5328	0.5328	0.5328	|	0.3768	0.4160	0.4160	0.4160	|  Best result at epoch 6
7	0.6401	2.3420	|	0.4157	0.4466	0.4466	0.4466	|	0.3018	0.3612	0.3612	0.3612	|  Best result at epoch 6
8	0.6376	2.6534	|	0.4523	0.5028	0.5028	0.5028	|	0.2974	0.3444	0.3444	0.3444	|  Best result at epoch 6
9	0.6399	2.5939	|	0.4564	0.4470	0.4470	0.4470	|	0.3580	0.3898	0.3898	0.3898	|  Best result at epoch 6
10	0.6279	2.5093	|	0.4139	0.4548	0.4548	0.4548	|	0.4021	0.4614	0.4614	0.4614	|  Best result at epoch 6
11	0.6135	2.6957	|	0.4389	0.4270	0.4270	0.4270	|	0.3787	0.4160	0.4160	0.4160	|  Best result at epoch 6
12	0.6214	2.5986	|	0.4601	0.4548	0.4548	0.4548	|	0.4234	0.4560	0.4560	0.4560	|  Best result at epoch 6
13	0.6366	2.6745	|	0.5142	0.5524	0.5524	0.5524	|	0.3135	0.3896	0.3896	0.3896	|  Best result at epoch 13
14	0.6108	2.6607	|	0.4489	0.4548	0.4548	0.4548	|	0.3839	0.4320	0.4320	0.4320	|  Best result at epoch 13
15	0.6196	2.8939	|	0.5429	0.5328	0.5328	0.5328	|	0.4164	0.4320	0.4320	0.4320	|  Best result at epoch 13
16	0.6027	2.4866	|	0.4573	0.4552	0.4552	0.4552	|	0.3809	0.4150	0.4150	0.4150	|  Best result at epoch 13
