epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	1.3035	1.5338	|	0.5969	0.5862	0.5862	0.5862	|	0.3312	0.3998	0.3998	0.3998	|  Best result at epoch 0
1	1.1673	1.6261	|	0.5273	0.5160	0.5160	0.5160	|	0.3281	0.4114	0.4114	0.4114	|  Best result at epoch 0
2	1.1400	1.6412	|	0.5049	0.5718	0.5718	0.5718	|	0.3050	0.4080	0.4080	0.4080	|  Best result at epoch 0
3	1.1251	1.7844	|	0.4584	0.5536	0.5536	0.5536	|	0.2219	0.3432	0.3432	0.3432	|  Best result at epoch 0
4	1.1042	1.6324	|	0.5706	0.6316	0.6316	0.6316	|	0.3486	0.4174	0.4174	0.4174	|  Best result at epoch 4
5	1.1049	1.6587	|	0.4588	0.5536	0.5536	0.5536	|	0.2798	0.4000	0.4000	0.4000	|  Best result at epoch 4
6	1.0942	1.6332	|	0.5708	0.6316	0.6316	0.6316	|	0.3157	0.3840	0.3840	0.3840	|  Best result at epoch 4
7	1.0851	1.6461	|	0.3657	0.4376	0.4376	0.4376	|	0.3157	0.3840	0.3840	0.3840	|  Best result at epoch 4
8	1.0920	1.6499	|	0.5917	0.6438	0.6438	0.6438	|	0.2972	0.3286	0.3286	0.3286	|  Best result at epoch 8
9	1.0853	1.6207	|	0.4588	0.5536	0.5536	0.5536	|	0.2798	0.4000	0.4000	0.4000	|  Best result at epoch 8
10	1.0855	1.6348	|	0.5199	0.5156	0.5156	0.5156	|	0.3157	0.3840	0.3840	0.3840	|  Best result at epoch 8
11	1.0843	1.6343	|	0.6142	0.6716	0.6716	0.6716	|	0.3461	0.4076	0.4076	0.4076	|  Best result at epoch 11
12	1.0966	1.6786	|	0.4588	0.5536	0.5536	0.5536	|	0.3147	0.3832	0.3832	0.3832	|  Best result at epoch 11
13	1.0866	1.6050	|	0.5543	0.6044	0.6044	0.6044	|	0.2745	0.3636	0.3636	0.3636	|  Best result at epoch 11
14	1.0828	1.6872	|	0.4299	0.5536	0.5536	0.5536	|	0.2557	0.3484	0.3484	0.3484	|  Best result at epoch 11
15	1.0899	1.6120	|	0.5567	0.6062	0.6062	0.6062	|	0.2734	0.3672	0.3672	0.3672	|  Best result at epoch 11
16	1.0729	1.6469	|	0.4619	0.5536	0.5536	0.5536	|	0.3152	0.3836	0.3836	0.3836	|  Best result at epoch 11
17	1.0820	1.6327	|	0.5577	0.5784	0.5784	0.5784	|	0.3418	0.3714	0.3714	0.3714	|  Best result at epoch 11
18	1.0907	1.6331	|	0.4588	0.5536	0.5536	0.5536	|	0.3492	0.4408	0.4408	0.4408	|  Best result at epoch 11
19	1.0837	1.6126	|	0.5086	0.5054	0.5054	0.5054	|	0.3793	0.4144	0.4144	0.4144	|  Best result at epoch 11
20	1.0822	1.6144	|	0.4771	0.5282	0.5282	0.5282	|	0.3120	0.3668	0.3668	0.3668	|  Best result at epoch 11
21	1.0962	1.6031	|	0.4588	0.5536	0.5536	0.5536	|	0.3147	0.3832	0.3832	0.3832	|  Best result at epoch 11
22	1.0934	1.5820	|	0.6268	0.6842	0.6842	0.6842	|	0.3067	0.3676	0.3676	0.3676	|  Best result at epoch 22
23	1.0960	1.6378	|	0.4588	0.5536	0.5536	0.5536	|	0.2838	0.4008	0.4008	0.4008	|  Best result at epoch 22
24	1.0904	1.6696	|	0.4667	0.5536	0.5536	0.5536	|	0.3556	0.4240	0.4240	0.4240	|  Best result at epoch 22
25	1.0914	1.6655	|	0.4830	0.4972	0.4972	0.4972	|	0.2885	0.3364	0.3364	0.3364	|  Best result at epoch 22
26	1.0876	1.6536	|	0.4532	0.5282	0.5282	0.5282	|	0.3067	0.3676	0.3676	0.3676	|  Best result at epoch 22
27	1.0841	1.7185	|	0.5469	0.5936	0.5936	0.5936	|	0.3461	0.4076	0.4076	0.4076	|  Best result at epoch 22
28	1.0959	1.7351	|	0.4259	0.5278	0.5278	0.5278	|	0.3067	0.3676	0.3676	0.3676	|  Best result at epoch 22
29	1.0912	1.7202	|	0.4403	0.5536	0.5536	0.5536	|	0.3157	0.3840	0.3840	0.3840	|  Best result at epoch 22
30	1.0934	1.7930	|	0.3606	0.4376	0.4376	0.4376	|	0.3489	0.4150	0.4150	0.4150	|  Best result at epoch 22
31	1.0839	1.7678	|	0.4259	0.5278	0.5278	0.5278	|	0.2958	0.3498	0.3498	0.3498	|  Best result at epoch 22
32	1.0822	1.7325	|	0.4108	0.4376	0.4376	0.4376	|	0.3468	0.4146	0.4146	0.4146	|  Best result at epoch 22
33	1.0810	1.7419	|	0.4730	0.5536	0.5536	0.5536	|	0.3157	0.3840	0.3840	0.3840	|  Best result at epoch 22
34	1.0854	1.7895	|	0.4062	0.4572	0.4572	0.4572	|	0.2967	0.3120	0.3120	0.3120	|  Best result at epoch 22
35	1.0862	1.8017	|	0.4749	0.4972	0.4972	0.4972	|	0.2491	0.3356	0.3356	0.3356	|  Best result at epoch 22
36	1.0930	1.7220	|	0.4619	0.5536	0.5536	0.5536	|	0.2854	0.4016	0.4016	0.4016	|  Best result at epoch 22
37	1.0809	1.7231	|	0.5363	0.6058	0.6058	0.6058	|	0.2958	0.3498	0.3498	0.3498	|  Best result at epoch 22
38	1.0920	1.8158	|	0.5653	0.5844	0.5844	0.5844	|	0.4222	0.4348	0.4348	0.4348	|  Best result at epoch 22
39	1.0825	1.7608	|	0.5096	0.5390	0.5390	0.5390	|	0.4102	0.4352	0.4352	0.4352	|  Best result at epoch 22
40	1.0846	1.7948	|	0.4112	0.5260	0.5260	0.5260	|	0.3271	0.3636	0.3636	0.3636	|  Best result at epoch 22
41	1.0866	1.7617	|	0.3671	0.4376	0.4376	0.4376	|	0.3077	0.4146	0.4146	0.4146	|  Best result at epoch 22
42	1.0829	1.7072	|	0.4121	0.5278	0.5278	0.5278	|	0.3131	0.3676	0.3676	0.3676	|  Best result at epoch 22
43	1.0871	1.7748	|	0.4194	0.5278	0.5278	0.5278	|	0.2954	0.3498	0.3498	0.3498	|  Best result at epoch 22
44	1.0973	1.7541	|	0.4433	0.4572	0.4572	0.4572	|	0.2946	0.3120	0.3120	0.3120	|  Best result at epoch 22
45	1.0894	1.7715	|	0.3781	0.4410	0.4410	0.4410	|	0.2967	0.3120	0.3120	0.3120	|  Best result at epoch 22
46	1.0826	1.7457	|	0.5217	0.5156	0.5156	0.5156	|	0.3027	0.4072	0.4072	0.4072	|  Best result at epoch 22
47	1.0953	1.7606	|	0.4121	0.5278	0.5278	0.5278	|	0.2498	0.3276	0.3276	0.3276	|  Best result at epoch 22
48	1.0946	1.7466	|	0.4393	0.5278	0.5278	0.5278	|	0.3067	0.3676	0.3676	0.3676	|  Best result at epoch 22
49	1.0878	1.7312	|	0.3975	0.4554	0.4554	0.4554	|	0.3673	0.4396	0.4396	0.4396	|  Best result at epoch 22
50	1.0881	1.7381	|	0.4403	0.5536	0.5536	0.5536	|	0.3157	0.3840	0.3840	0.3840	|  Best result at epoch 22
51	1.0929	1.7226	|	0.4247	0.5278	0.5278	0.5278	|	0.3067	0.3676	0.3676	0.3676	|  Best result at epoch 22
52	1.0841	1.6869	|	0.5459	0.5352	0.5352	0.5352	|	0.3256	0.3520	0.3520	0.3520	|  Best result at epoch 22
53	1.0830	1.6898	|	0.3845	0.4376	0.4376	0.4376	|	0.2854	0.4016	0.4016	0.4016	|  Best result at epoch 22
54	1.0763	1.7461	|	0.5000	0.5530	0.5530	0.5530	|	0.2727	0.3640	0.3640	0.3640	|  Best result at epoch 22
55	1.0845	1.6801	|	0.4259	0.5278	0.5278	0.5278	|	0.2498	0.3276	0.3276	0.3276	|  Best result at epoch 22
56	1.0886	1.7222	|	0.4438	0.5536	0.5536	0.5536	|	0.2463	0.4016	0.4016	0.4016	|  Best result at epoch 22
57	1.0948	1.7180	|	0.4403	0.5536	0.5536	0.5536	|	0.3157	0.3840	0.3840	0.3840	|  Best result at epoch 22
58	1.0863	1.6995	|	0.4955	0.5530	0.5530	0.5530	|	0.3106	0.3640	0.3640	0.3640	|  Best result at epoch 22
59	1.0838	1.6763	|	0.5839	0.6098	0.6098	0.6098	|	0.3070	0.4076	0.4076	0.4076	|  Best result at epoch 22
60	1.0837	1.6558	|	0.4259	0.5278	0.5278	0.5278	|	0.2498	0.3276	0.3276	0.3276	|  Best result at epoch 22
61	1.0755	1.6555	|	0.5291	0.5530	0.5530	0.5530	|	0.3106	0.3640	0.3640	0.3640	|  Best result at epoch 22
62	1.0803	1.6226	|	0.5612	0.6058	0.6058	0.6058	|	0.2958	0.3498	0.3498	0.3498	|  Best result at epoch 22
63	1.0841	1.7275	|	0.5176	0.5352	0.5352	0.5352	|	0.3047	0.3430	0.3430	0.3430	|  Best result at epoch 22
64	1.0808	1.6888	|	0.5470	0.6058	0.6058	0.6058	|	0.2958	0.3498	0.3498	0.3498	|  Best result at epoch 22
65	1.0705	1.7426	|	0.4503	0.4972	0.4972	0.4972	|	0.2885	0.3360	0.3360	0.3360	|  Best result at epoch 22
66	1.0858	1.6671	|	0.4795	0.4972	0.4972	0.4972	|	0.2882	0.3356	0.3356	0.3356	|  Best result at epoch 22
67	1.0719	1.7180	|	0.4512	0.4972	0.4972	0.4972	|	0.2882	0.3356	0.3356	0.3356	|  Best result at epoch 22
68	1.0817	1.6740	|	0.4455	0.4572	0.4572	0.4572	|	0.2707	0.3010	0.3010	0.3010	|  Best result at epoch 22
69	1.0766	1.6839	|	0.4619	0.5536	0.5536	0.5536	|	0.2854	0.4016	0.4016	0.4016	|  Best result at epoch 22
