epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	1.3661	1.0862	|	0.6647	0.6646	0.6646	0.6646	|	0.2753	0.3764	0.3764	0.3764	|  Best result at epoch 0
1	1.2477	1.0163	|	0.5878	0.6316	0.6316	0.6316	|	0.2078	0.3260	0.3260	0.3260	|  Best result at epoch 0
2	1.2312	0.9796	|	0.7200	0.7292	0.7292	0.7292	|	0.3059	0.4170	0.4170	0.4170	|  Best result at epoch 2
3	1.2149	1.0225	|	0.6445	0.6512	0.6512	0.6512	|	0.3043	0.4162	0.4162	0.4162	|  Best result at epoch 2
4	1.2121	1.3182	|	0.6404	0.6934	0.6934	0.6934	|	0.2123	0.3432	0.3432	0.3432	|  Best result at epoch 2
5	1.2063	1.2365	|	0.6170	0.6432	0.6432	0.6432	|	0.2409	0.3324	0.3324	0.3324	|  Best result at epoch 2
6	1.2156	1.2278	|	0.5757	0.5608	0.5608	0.5608	|	0.2551	0.3512	0.3512	0.3512	|  Best result at epoch 2
7	1.2109	1.0265	|	0.5518	0.5334	0.5334	0.5334	|	0.2765	0.3900	0.3900	0.3900	|  Best result at epoch 2
8	1.2253	1.2111	|	0.6984	0.6988	0.6988	0.6988	|	0.2554	0.3496	0.3496	0.3496	|  Best result at epoch 2
9	1.2230	1.1727	|	0.6988	0.6992	0.6992	0.6992	|	0.2394	0.3218	0.3218	0.3218	|  Best result at epoch 2
10	1.2022	1.2857	|	0.5300	0.5832	0.5832	0.5832	|	0.2311	0.3214	0.3214	0.3214	|  Best result at epoch 2
11	1.1943	1.2719	|	0.5518	0.5334	0.5334	0.5334	|	0.2436	0.3324	0.3324	0.3324	|  Best result at epoch 2
12	1.2026	1.2252	|	0.5535	0.5352	0.5352	0.5352	|	0.2999	0.4088	0.4088	0.4088	|  Best result at epoch 2
13	1.2069	1.0123	|	0.5481	0.5352	0.5352	0.5352	|	0.2687	0.3512	0.3512	0.3512	|  Best result at epoch 2
14	1.2236	1.2386	|	0.5737	0.6316	0.6316	0.6316	|	0.2077	0.3260	0.3260	0.3260	|  Best result at epoch 2
15	1.2053	1.1869	|	0.6098	0.6600	0.6600	0.6600	|	0.2238	0.2992	0.2992	0.2992	|  Best result at epoch 2
16	1.2049	1.4371	|	0.5553	0.6088	0.6088	0.6088	|	0.2732	0.3674	0.3674	0.3674	|  Best result at epoch 2
17	1.2000	1.3685	|	0.5760	0.5612	0.5612	0.5612	|	0.3215	0.4266	0.4266	0.4266	|  Best result at epoch 2
18	1.2042	1.2231	|	0.6422	0.6494	0.6494	0.6494	|	0.2436	0.3324	0.3324	0.3324	|  Best result at epoch 2
19	1.2058	1.2108	|	0.5300	0.5832	0.5832	0.5832	|	0.2392	0.3214	0.3214	0.3214	|  Best result at epoch 2
20	1.2035	1.2019	|	0.5637	0.5352	0.5352	0.5352	|	0.2626	0.3512	0.3512	0.3512	|  Best result at epoch 2
21	1.2130	1.3557	|	0.5300	0.5832	0.5832	0.5832	|	0.2313	0.3214	0.3214	0.3214	|  Best result at epoch 2
22	1.2043	1.1982	|	0.5552	0.6058	0.6058	0.6058	|	0.2022	0.3082	0.3082	0.3082	|  Best result at epoch 2
23	1.1961	1.3563	|	0.5285	0.5814	0.5814	0.5814	|	0.2215	0.3026	0.3026	0.3026	|  Best result at epoch 2
24	1.1973	1.3559	|	0.6422	0.6494	0.6494	0.6494	|	0.2436	0.3324	0.3324	0.3324	|  Best result at epoch 2
25	1.2048	1.2039	|	0.5298	0.5828	0.5828	0.5828	|	0.2712	0.3574	0.3574	0.3574	|  Best result at epoch 2
26	1.1917	1.3269	|	0.5300	0.5832	0.5832	0.5832	|	0.2392	0.3214	0.3214	0.3214	|  Best result at epoch 2
27	1.1974	1.1958	|	0.5351	0.5832	0.5832	0.5832	|	0.2548	0.3288	0.3288	0.3288	|  Best result at epoch 2
28	1.2117	1.4249	|	0.5737	0.6316	0.6316	0.6316	|	0.2078	0.3260	0.3260	0.3260	|  Best result at epoch 2
29	1.1915	1.1858	|	0.6491	0.6494	0.6494	0.6494	|	0.2767	0.3900	0.3900	0.3900	|  Best result at epoch 2
30	1.2074	1.2001	|	0.5285	0.5814	0.5814	0.5814	|	0.2318	0.3026	0.3026	0.3026	|  Best result at epoch 2
31	1.2006	1.4141	|	0.5552	0.6088	0.6088	0.6088	|	0.2558	0.3392	0.3392	0.3392	|  Best result at epoch 2
32	1.2061	1.3755	|	0.6957	0.6970	0.6970	0.6970	|	0.2233	0.3038	0.3038	0.3038	|  Best result at epoch 2
33	1.1984	1.2027	|	0.5481	0.5352	0.5352	0.5352	|	0.2626	0.3512	0.3512	0.3512	|  Best result at epoch 2
34	1.2085	1.2901	|	0.5535	0.5352	0.5352	0.5352	|	0.2633	0.3516	0.3516	0.3516	|  Best result at epoch 2
35	1.2029	1.4323	|	0.6957	0.6970	0.6970	0.6970	|	0.2332	0.3030	0.3030	0.3030	|  Best result at epoch 2
36	1.2155	1.2751	|	0.6170	0.6432	0.6432	0.6432	|	0.2748	0.3900	0.3900	0.3900	|  Best result at epoch 2
37	1.2170	1.5209	|	0.5300	0.5832	0.5832	0.5832	|	0.2409	0.3210	0.3210	0.3210	|  Best result at epoch 2
38	1.1919	1.3465	|	0.7190	0.7192	0.7192	0.7192	|	0.2065	0.2956	0.2956	0.2956	|  Best result at epoch 2
39	1.1970	1.3986	|	0.6138	0.6634	0.6634	0.6634	|	0.2256	0.3064	0.3064	0.3064	|  Best result at epoch 2
40	1.1839	1.3388	|	0.6700	0.6912	0.6912	0.6912	|	0.2117	0.2964	0.2964	0.2964	|  Best result at epoch 2
41	1.1716	1.3774	|	0.6079	0.6634	0.6634	0.6634	|	0.2290	0.3122	0.3122	0.3122	|  Best result at epoch 2
42	1.1841	1.2408	|	0.6073	0.6634	0.6634	0.6634	|	0.2290	0.3122	0.3122	0.3122	|  Best result at epoch 2
43	1.1819	1.3020	|	0.5744	0.6154	0.6154	0.6154	|	0.2136	0.3424	0.3424	0.3424	|  Best result at epoch 2
44	1.1793	1.2594	|	0.5441	0.5854	0.5854	0.5854	|	0.2026	0.2628	0.2628	0.2628	|  Best result at epoch 2
45	1.1784	1.2576	|	0.5674	0.6158	0.6158	0.6158	|	0.2525	0.4004	0.4004	0.4004	|  Best result at epoch 2
46	1.1907	1.3197	|	0.5083	0.5534	0.5534	0.5534	|	0.2327	0.3022	0.3022	0.3022	|  Best result at epoch 2
47	1.1825	1.2930	|	0.5555	0.6092	0.6092	0.6092	|	0.2524	0.3388	0.3388	0.3388	|  Best result at epoch 2
48	1.1748	1.2349	|	0.5749	0.6158	0.6158	0.6158	|	0.2144	0.3428	0.3428	0.3428	|  Best result at epoch 2
49	1.1794	1.2634	|	0.6135	0.6634	0.6634	0.6634	|	0.2320	0.3138	0.3138	0.3138	|  Best result at epoch 2
50	1.1913	1.2843	|	0.5749	0.6158	0.6158	0.6158	|	0.2101	0.3428	0.3428	0.3428	|  Best result at epoch 2
51	1.1784	1.2943	|	0.6975	0.6992	0.6992	0.6992	|	0.2530	0.3388	0.3388	0.3388	|  Best result at epoch 2
52	1.1789	1.2455	|	0.6138	0.6634	0.6634	0.6634	|	0.2437	0.3130	0.3130	0.3130	|  Best result at epoch 2
53	1.1785	1.2829	|	0.4532	0.5378	0.5378	0.5378	|	0.2496	0.4004	0.4004	0.4004	|  Best result at epoch 2
54	1.1822	1.2887	|	0.5555	0.6092	0.6092	0.6092	|	0.2530	0.3396	0.3396	0.3396	|  Best result at epoch 2
55	1.1710	1.3015	|	0.6700	0.6912	0.6912	0.6912	|	0.2216	0.2956	0.2956	0.2956	|  Best result at epoch 2
56	1.1809	1.2830	|	0.6100	0.6634	0.6634	0.6634	|	0.2905	0.3694	0.3694	0.3694	|  Best result at epoch 2
57	1.2077	1.2552	|	0.6099	0.6634	0.6634	0.6634	|	0.2265	0.3122	0.3122	0.3122	|  Best result at epoch 2
58	1.2145	1.2956	|	0.5300	0.5832	0.5832	0.5832	|	0.2316	0.3218	0.3218	0.3218	|  Best result at epoch 2
59	1.1809	1.2715	|	0.5282	0.5814	0.5814	0.5814	|	0.2065	0.2956	0.2956	0.2956	|  Best result at epoch 2
60	1.1769	1.2846	|	0.7295	0.7248	0.7248	0.7248	|	0.2409	0.3210	0.3210	0.3210	|  Best result at epoch 2
61	1.1738	1.2874	|	0.6696	0.6912	0.6912	0.6912	|	0.2238	0.3026	0.3026	0.3026	|  Best result at epoch 2
62	1.1869	1.3486	|	0.5330	0.5836	0.5836	0.5836	|	0.2464	0.3388	0.3388	0.3388	|  Best result at epoch 2
63	1.1736	1.3876	|	0.5555	0.6092	0.6092	0.6092	|	0.2524	0.3388	0.3388	0.3388	|  Best result at epoch 2
64	1.1752	1.2823	|	0.6342	0.6846	0.6846	0.6846	|	0.1861	0.2982	0.2982	0.2982	|  Best result at epoch 2
65	1.1765	1.3123	|	0.5282	0.5814	0.5814	0.5814	|	0.2065	0.2956	0.2956	0.2956	|  Best result at epoch 2
66	1.1565	1.2461	|	0.6908	0.6988	0.6988	0.6988	|	0.2613	0.3496	0.3496	0.3496	|  Best result at epoch 2
67	1.1775	1.2700	|	0.5371	0.5832	0.5832	0.5832	|	0.2465	0.3388	0.3388	0.3388	|  Best result at epoch 2
68	1.1732	1.2859	|	0.6010	0.6320	0.6320	0.6320	|	0.1966	0.2982	0.2982	0.2982	|  Best result at epoch 2
69	1.1849	1.2977	|	0.6138	0.6634	0.6634	0.6634	|	0.2335	0.3130	0.3130	0.3130	|  Best result at epoch 2
70	1.1781	1.2324	|	0.6090	0.6634	0.6634	0.6634	|	0.2408	0.3122	0.3122	0.3122	|  Best result at epoch 2
71	1.1720	1.3161	|	0.5616	0.6066	0.6066	0.6066	|	0.1861	0.2982	0.2982	0.2982	|  Best result at epoch 2
72	1.1760	1.2860	|	0.5282	0.5814	0.5814	0.5814	|	0.2173	0.2964	0.2964	0.2964	|  Best result at epoch 2
73	1.1808	1.2912	|	0.6099	0.6634	0.6634	0.6634	|	0.2265	0.3122	0.3122	0.3122	|  Best result at epoch 2
74	1.1755	1.3628	|	0.6075	0.6634	0.6634	0.6634	|	0.1912	0.2738	0.2738	0.2738	|  Best result at epoch 2
75	1.1810	1.2653	|	0.6135	0.6634	0.6634	0.6634	|	0.2278	0.3130	0.3130	0.3130	|  Best result at epoch 2
76	1.1758	1.3197	|	0.4532	0.5378	0.5378	0.5378	|	0.2118	0.3428	0.3428	0.3428	|  Best result at epoch 2
77	1.1752	1.2909	|	0.5749	0.6158	0.6158	0.6158	|	0.2150	0.3428	0.3428	0.3428	|  Best result at epoch 2
78	1.1817	1.3155	|	0.6090	0.6634	0.6634	0.6634	|	0.2245	0.3022	0.3022	0.3022	|  Best result at epoch 2
79	1.1791	1.2924	|	0.5555	0.6092	0.6092	0.6092	|	0.2450	0.3388	0.3388	0.3388	|  Best result at epoch 2
80	1.1778	1.2623	|	0.6138	0.6634	0.6634	0.6634	|	0.2831	0.3706	0.3706	0.3706	|  Best result at epoch 2
81	1.2038	1.3720	|	0.5326	0.5832	0.5832	0.5832	|	0.2389	0.3210	0.3210	0.3210	|  Best result at epoch 2
82	1.1852	1.4046	|	0.4626	0.5074	0.5074	0.5074	|	0.2454	0.3298	0.3298	0.3298	|  Best result at epoch 2
83	1.1673	1.2573	|	0.6075	0.6634	0.6634	0.6634	|	0.2353	0.3122	0.3122	0.3122	|  Best result at epoch 2
84	1.1718	1.3562	|	0.4750	0.5540	0.5540	0.5540	|	0.1965	0.2982	0.2982	0.2982	|  Best result at epoch 2
85	1.1957	1.2621	|	0.5282	0.5814	0.5814	0.5814	|	0.2163	0.2952	0.2952	0.2952	|  Best result at epoch 2
86	1.1836	1.3116	|	0.6138	0.6634	0.6634	0.6634	|	0.2269	0.3056	0.3056	0.3056	|  Best result at epoch 2
87	1.1783	1.3016	|	0.6700	0.6912	0.6912	0.6912	|	0.2210	0.3026	0.3026	0.3026	|  Best result at epoch 2
88	1.1770	1.2622	|	0.6088	0.6630	0.6630	0.6630	|	0.2796	0.3404	0.3404	0.3404	|  Best result at epoch 2
89	1.1784	1.2762	|	0.6852	0.6974	0.6974	0.6974	|	0.3011	0.3598	0.3598	0.3598	|  Best result at epoch 2
90	1.1806	1.3026	|	0.4626	0.5074	0.5074	0.5074	|	0.2454	0.3298	0.3298	0.3298	|  Best result at epoch 2
91	1.1951	1.3692	|	0.6240	0.6796	0.6796	0.6796	|	0.2837	0.3714	0.3714	0.3714	|  Best result at epoch 2
92	1.1718	1.3431	|	0.6965	0.6974	0.6974	0.6974	|	0.2317	0.3030	0.3030	0.3030	|  Best result at epoch 2
