epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	1.0194	1.3891	|	0.4671	0.5156	0.5156	0.5156	|	0.3762	0.4354	0.4354	0.4354	|  Best result at epoch 0
1	0.8758	1.6517	|	0.4140	0.5256	0.5256	0.5256	|	0.2880	0.3312	0.3312	0.3312	|  Best result at epoch 1
2	0.8462	1.6212	|	0.6025	0.6596	0.6596	0.6596	|	0.2948	0.3266	0.3266	0.3266	|  Best result at epoch 2
3	0.8168	1.5388	|	0.5260	0.5560	0.5560	0.5560	|	0.2849	0.3738	0.3738	0.3738	|  Best result at epoch 2
4	0.7683	1.5792	|	0.5607	0.6088	0.6088	0.6088	|	0.2419	0.3324	0.3324	0.3324	|  Best result at epoch 2
5	0.7520	1.5423	|	0.6850	0.7012	0.7012	0.7012	|	0.3975	0.4620	0.4620	0.4620	|  Best result at epoch 5
6	0.7391	1.5425	|	0.6324	0.6392	0.6392	0.6392	|	0.3501	0.4160	0.4160	0.4160	|  Best result at epoch 5
7	0.7248	1.5903	|	0.6661	0.6646	0.6646	0.6646	|	0.3108	0.3976	0.3976	0.3976	|  Best result at epoch 5
8	0.7240	1.7056	|	0.6046	0.6136	0.6136	0.6136	|	0.3305	0.3940	0.3940	0.3940	|  Best result at epoch 5
9	0.7125	1.5804	|	0.7144	0.7292	0.7292	0.7292	|	0.3061	0.4030	0.4030	0.4030	|  Best result at epoch 9
10	0.7097	1.6532	|	0.6321	0.6388	0.6388	0.6388	|	0.3418	0.4082	0.4082	0.4082	|  Best result at epoch 9
11	0.7037	1.7132	|	0.6043	0.6132	0.6132	0.6132	|	0.3728	0.4438	0.4438	0.4438	|  Best result at epoch 9
12	0.7009	1.7174	|	0.5884	0.6586	0.6586	0.6586	|	0.1965	0.3090	0.3090	0.3090	|  Best result at epoch 9
13	0.6989	1.6666	|	0.4920	0.5560	0.5560	0.5560	|	0.4221	0.4298	0.4298	0.4298	|  Best result at epoch 9
14	0.6916	1.9237	|	0.6173	0.6720	0.6720	0.6720	|	0.3870	0.4588	0.4588	0.4588	|  Best result at epoch 9
15	0.6920	1.6977	|	0.6777	0.7014	0.7014	0.7014	|	0.3063	0.4092	0.4092	0.4092	|  Best result at epoch 9
16	0.6888	1.7240	|	0.6394	0.6390	0.6390	0.6390	|	0.3295	0.4270	0.4270	0.4270	|  Best result at epoch 9
17	0.6903	1.7821	|	0.5722	0.5858	0.5858	0.5858	|	0.3269	0.3936	0.3936	0.3936	|  Best result at epoch 9
18	0.6866	1.7511	|	0.5797	0.5854	0.5854	0.5854	|	0.2606	0.3520	0.3520	0.3520	|  Best result at epoch 9
19	0.6839	1.7557	|	0.5838	0.6332	0.6332	0.6332	|	0.2368	0.3224	0.3224	0.3224	|  Best result at epoch 9
20	0.7132	1.6599	|	0.6762	0.6646	0.6646	0.6646	|	0.3155	0.4092	0.4092	0.4092	|  Best result at epoch 9
21	0.6843	1.7917	|	0.5722	0.5858	0.5858	0.5858	|	0.3269	0.3936	0.3936	0.3936	|  Best result at epoch 9
22	0.6868	1.8027	|	0.6043	0.6132	0.6132	0.6132	|	0.3481	0.4156	0.4156	0.4156	|  Best result at epoch 9
23	0.6802	1.7373	|	0.6043	0.6132	0.6132	0.6132	|	0.3281	0.3928	0.3928	0.3928	|  Best result at epoch 9
24	0.6829	1.8258	|	0.6043	0.6132	0.6132	0.6132	|	0.3483	0.4156	0.4156	0.4156	|  Best result at epoch 9
25	0.6846	1.7987	|	0.6046	0.6136	0.6136	0.6136	|	0.3282	0.3936	0.3936	0.3936	|  Best result at epoch 9
26	0.6778	1.8246	|	0.5749	0.5854	0.5854	0.5854	|	0.2617	0.3520	0.3520	0.3520	|  Best result at epoch 9
27	0.6892	1.8017	|	0.6082	0.6132	0.6132	0.6132	|	0.2639	0.3520	0.3520	0.3520	|  Best result at epoch 9
28	0.6824	1.7969	|	0.5893	0.6020	0.6020	0.6020	|	0.2939	0.3652	0.3652	0.3652	|  Best result at epoch 9
29	0.6814	1.7668	|	0.6043	0.6132	0.6132	0.6132	|	0.2612	0.3520	0.3520	0.3520	|  Best result at epoch 9
30	0.6767	1.8951	|	0.5719	0.5854	0.5854	0.5854	|	0.2891	0.3752	0.3752	0.3752	|  Best result at epoch 9
31	0.6826	1.7962	|	0.5719	0.5854	0.5854	0.5854	|	0.3242	0.3928	0.3928	0.3928	|  Best result at epoch 9
32	0.6844	1.8055	|	0.6046	0.6136	0.6136	0.6136	|	0.3269	0.3936	0.3936	0.3936	|  Best result at epoch 9
33	0.6793	1.7555	|	0.5871	0.6050	0.6050	0.6050	|	0.1975	0.2874	0.2874	0.2874	|  Best result at epoch 9
34	0.6746	1.8666	|	0.5719	0.5854	0.5854	0.5854	|	0.3257	0.3932	0.3932	0.3932	|  Best result at epoch 9
35	0.6838	1.8447	|	0.4498	0.4572	0.4572	0.4572	|	0.2836	0.3810	0.3810	0.3810	|  Best result at epoch 9
36	0.6850	1.7378	|	0.6082	0.6132	0.6132	0.6132	|	0.2574	0.3512	0.3512	0.3512	|  Best result at epoch 9
37	0.6720	1.8123	|	0.6046	0.6136	0.6136	0.6136	|	0.3240	0.3932	0.3932	0.3932	|  Best result at epoch 9
38	0.6807	1.7808	|	0.6043	0.6132	0.6132	0.6132	|	0.3281	0.3928	0.3928	0.3928	|  Best result at epoch 9
39	0.6916	1.7832	|	0.5749	0.5854	0.5854	0.5854	|	0.2646	0.3524	0.3524	0.3524	|  Best result at epoch 9
40	0.6837	1.8106	|	0.5749	0.5854	0.5854	0.5854	|	0.2644	0.3524	0.3524	0.3524	|  Best result at epoch 9
41	0.6715	1.7738	|	0.5797	0.5854	0.5854	0.5854	|	0.2578	0.3516	0.3516	0.3516	|  Best result at epoch 9
42	0.6729	1.9366	|	0.4498	0.4572	0.4572	0.4572	|	0.2685	0.3586	0.3586	0.3586	|  Best result at epoch 9
43	0.6820	1.8707	|	0.5749	0.5854	0.5854	0.5854	|	0.2747	0.3594	0.3594	0.3594	|  Best result at epoch 9
44	0.6744	1.8266	|	0.6082	0.6132	0.6132	0.6132	|	0.2831	0.3744	0.3744	0.3744	|  Best result at epoch 9
45	0.6841	1.8022	|	0.6082	0.6132	0.6132	0.6132	|	0.2612	0.3520	0.3520	0.3520	|  Best result at epoch 9
46	0.6775	1.8451	|	0.6160	0.6132	0.6132	0.6132	|	0.2836	0.3810	0.3810	0.3810	|  Best result at epoch 9
