0	3
1	2
2	4
3	15
4	16
5	8
6	9
7	6
8	5
9	12
10	7
11	11
12	10
13	14
14	13
15	19
16	18
17	20
18	24
19	21
20	49
21	17
22	23
23	62
24	31
25	30
26	64
27	63
28	316
29	256
30	398
31	128
32	22
33	25
34	41
35	26
36	29
37	51
38	52
39	34
40	50
41	39
42	40
43	28
44	118
45	37
46	36
47	33
48	43
49	66
50	61
51	27
52	38
53	46
54	60
55	32
56	67
57	57
58	70
59	56
60	116
61	65
62	35
63	1
64	55
65	44
66	83
67	277
68	335
69	327
70	303
71	276
72	101
73	121
74	110
75	154
76	88
77	96
78	143
79	132
80	72
81	82
82	99
83	77
84	111
85	105
86	113
87	42
88	53
89	54
90	48
91	47
92	144
93	124
94	225
95	234
96	75
97	91
98	170
99	119
100	136
101	122
102	150
103	133
104	80
105	74
106	85
107	73
108	45
109	78
110	454
111	228
112	114
113	68
114	81
115	93
116	76
117	296
118	431
119	334
120	336
121	524
122	451
123	377
124	445
125	433
126	415
127	388
128	271
129	260
130	275
131	220
132	230
133	214
134	187
135	204
136	191
137	201
138	166
139	163
140	168
141	151
142	152
143	135
144	134
145	137
146	120
147	117
148	112
149	106
150	95
151	107
152	104
153	103
154	102
155	98
156	97
157	90
158	94
159	92
160	87
161	86
162	84
163	79
164	71
165	69
166	59
167	58
168	788
169	664
170	507
171	590
172	511
173	595
174	443
175	505
176	299
177	358
178	323
179	265
180	283
181	252
182	189
183	247
184	233
185	192
186	159
187	188
188	176
189	157
190	178
191	177
192	162
193	145
194	148
195	139
196	126
197	138
198	130
199	108
200	109
201	89
202	167
203	285
204	171
205	208
206	198
207	222
208	180
209	205
210	274
211	224
212	266
213	280
214	218
215	172
216	129
217	183
218	1099
219	140
220	164
221	1207
222	321
223	937
224	272
225	1007
226	185
227	1214
228	259
229	155
230	194
231	238
232	181
233	100
234	243
235	175
236	115
237	158
238	149
239	375
240	324
241	257
242	322
243	199
244	209
245	318
246	246
247	242
248	193
249	213
250	161
251	127
252	142
253	258
254	147
255	146
256	254
257	244
258	232
259	206
260	240
261	123
262	227
263	211
264	195
265	207
266	239
267	378
268	313
269	237
270	724
271	131
272	298
273	200
274	125
275	719
276	438
277	434
278	376
279	273
280	245
281	190
282	182
283	156
284	141
285	383
286	419
287	485
288	427
289	197
290	391
291	300
292	263
293	179
294	417
295	499
296	423
297	221
298	262
299	291
300	210
301	235
302	340
303	174
304	332
305	173
306	165
